  Household net adjusted disposable income INC,  Household net wealth WEA,  Employment rate,  Personal earnings LTE,  Quality of support network PER,  Educational attainment EDU,  Student skills SKI,  Years in education YED,  Water quality WQU,  Voter turnout VOL,  Self-reported health SRE,  Feeling safe walking alone at night ASR
37433.0,528768.0,73,55206.0,93,84.0,499.0,20.0,92,92,85,67
37001.0,309637.0,72,53132.0,92,86.0,491.0,17.0,92,76,71,86
34884.0,447607.0,65,54327.0,90,80.0,500.0,19.0,79,88,74,56
34421.0,478240.0,70,55342.0,93,92.0,517.0,17.0,90,68,89,78
,135787.0,56,26729.0,88,67.0,438.0,17.0,62,47,60,41
,,58,,80,59.0,406.0,14.0,82,53,80,50
16517.0,,55,,82,43.0,415.0,,87,66,73,47
26664.0,,74,29885.0,96,94.0,495.0,18.0,89,62,62,77
33774.0,149864.0,74,58430.0,95,82.0,501.0,19.0,93,85,70,85
23784.0,188627.0,74,30720.0,95,91.0,526.0,18.0,86,64,57,79
33471.0,230032.0,72,46230.0,96,91.0,516.0,20.0,97,69,68,88
34375.0,298639.0,65,45581.0,94,81.0,494.0,17.0,78,75,67,74
38971.0,304317.0,77,53745.0,90,86.0,500.0,18.0,91,76,66,76
20791.0,148323.0,56,27207.0,78,76.0,453.0,19.0,67,58,79,69
21026.0,150296.0,70,25409.0,94,86.0,479.0,16.0,81,70,58,74
,,78,67488.0,98,76.0,481.0,19.0,97,81,77,85
29488.0,370341.0,68,49474.0,96,85.0,505.0,18.0,80,63,84,76
,,67,39322.0,95,88.0,465.0,16.0,77,67,74,80
29431.0,295020.0,58,37769.0,89,63.0,477.0,17.0,77,73,73,73
28872.0,294735.0,77,38515.0,89,,520.0,16.0,87,53,37,77
24590.0,362340.0,66,41960.0,80,89.0,520.0,17.0,82,77,34,82
19783.0,79245.0,72,29876.0,92,89.0,487.0,18.0,83,55,47,72
26976.0,182039.0,72,31811.0,89,94.0,480.0,18.0,83,57,46,62
44773.0,941162.0,67,65854.0,91,74.0,477.0,15.0,85,90,72,87
16269.0,,59,16230.0,77,42.0,416.0,15.0,75,63,66,42
34984.0,248599.0,78,58828.0,94,81.0,502.0,19.0,91,79,75,83
39024.0,514162.0,77,45269.0,95,81.0,503.0,18.0,85,82,86,66
39144.0,268358.0,75,55780.0,96,82.0,497.0,18.0,98,78,75,93
23675.0,233221.0,69,32527.0,94,93.0,513.0,18.0,82,68,60,71
24877.0,255303.0,69,28410.0,87,55.0,492.0,17.0,89,49,50,83
21149.0,171425.0,68,23619.0,95,92.0,469.0,16.0,81,66,65,76
25250.0,233286.0,71,41445.0,95,90.0,504.0,18.0,93,53,67,91
27155.0,366534.0,62,37922.0,93,63.0,,18.0,76,72,75,80
33730.0,,75,47020.0,94,84.0,503.0,20.0,97,87,76,79
39697.0,,80,64824.0,94,89.0,498.0,17.0,96,45,81,86
,,48,,85,42.0,462.0,19.0,62,86,67,59
33049.0,524422.0,75,47147.0,93,82.0,503.0,17.0,82,68,73,78
51147.0,684500.0,67,69392.0,94,92.0,495.0,17.0,88,65,88,78
